First Column,Second Column,Twelfth Column
3jax,40.54,612.0
4woe,37.66,1202.0
3e9z,31.53,1240.0
3uq9,64.65,1295.0
5f78,43.04,1312.0
4bz8,30.59,1314.0
7p2t,33.67,1315.0
3e0q,39.9,1336.0
4bz6,33.57,1342.0
4cqf,30.77,1343.0
4l6i,39.38,1344.0
3vaq,49.99,1353.0
5f7j,45.46,1355.0
1tcv,33.51,1357.0
6tld,34.86,1360.0
6hrq,32.28,1362.0
5f73,31.16,1363.0
3faz,31.57,1368.0
4txj,36.24,1369.0
4dc3,57.16,1370.0
5f7o,38.63,1373.0
6hsf,30.84,1376.0
4bz7,38.66,1376.0
3vas,61.61,1377.0
3uq6,56.1,1381.0
6hsg,34.02,1384.0
3iex,31.03,1398.0
5fue,36.68,1404.0
6htt,41.0,1408.0
3fnq,35.21,1409.0
6hsh,35.14,1410.0
6hqy,30.81,1418.0
6htz,38.78,1429.0
6gxw,30.55,1434.0
4bz5,45.96,1436.0
6htg,35.88,1445.0
1td1,32.75,1447.0
1tcu,34.82,1452.0
3e9r,34.61,1465.0
4i04,61.5,1469.0
6ooi,56.83,1535.0
6fg5,32.03,1682.0
6ezu,32.7,1732.0
8a1r,32.28,2818.0
2x8c,54.82,2951.0
8pli,39.94,2953.0
7npx,34.68,2965.0
8plc,48.7,2966.0
8plv,45.54,2966.0
8plf,48.74,2972.0
8plo,55.23,2973.0
8pl1,43.66,2979.0
8plu,42.57,2980.0
8pld,61.45,2982.0
8plr,38.97,2996.0
8pl3,51.79,3003.0
8plq,31.41,3009.0
8ply,52.37,3009.0
8plj,37.31,3010.0
8pl9,54.71,3010.0
8pl7,47.3,3011.0
8pdd,63.66,3017.0
8plw,49.38,3017.0
8plt,32.09,3020.0
8plk,45.99,3023.0
8plp,31.44,3026.0
8pls,46.0,3030.0
8pl5,51.1,3031.0
8pl2,61.04,3034.0
8plb,62.97,3039.0
8pl0,47.94,3042.0
8pl4,60.13,3048.0
8pla,62.14,3053.0
8ple,44.97,3053.0
8plx,46.99,3056.0
