Filename,First Score,First Probability
AF-A0A5K4F8F2-F1-model_v4,260.55,1.0
AF-A0A3Q0KVD7-F1-model_v4,154.19,0.999
AF-A0A5K4EX77-F1-model_v4,148.13,0.998
AF-A0A3Q0KDU1-F1-model_v4,144.88,0.998
AF-A4K7Z0-F1-model_v4,136.67,0.998
AF-A0A5K4F584-F1-model_v4,131.1,0.998
AF-A0A5K4F0H9-F1-model_v4,122.71,0.997
AF-A0A3Q0KT97-F1-model_v4,120.76,0.997
AF-A0A3Q0KRR9-F1-model_v4,117.87,0.997
AF-A0A3Q0KR84-F1-model_v4,116.46,0.997
AF-A0A3Q0KL66-F1-model_v4,112.67,0.997
AF-A0A3Q0KEP8-F1-model_v4,112.46,0.997
AF-A0A3Q0KFA1-F1-model_v4,111.68,0.997
AF-A0A5K4F6G3-F1-model_v4,110.46,0.997
AF-A0A5K4ELT5-F1-model_v4,109.91,0.997
AF-G4M1H9-F1-model_v4,108.24,0.996
AF-A0A3Q0KKU2-F1-model_v4,106.47,0.996
AF-A0A5K4EMB4-F1-model_v4,105.91,0.996
AF-A0A3Q0KCC0-F1-model_v4,105.7,0.996
AF-A0A3Q0KQM5-F1-model_v4,105.36,0.996
AF-A0A3Q0KRK8-F1-model_v4,104.09,0.995
AF-A0A3Q0KKM9-F1-model_v4,103.3,0.995
AF-G4VG40-F1-model_v4,103.25,0.995
AF-A0A5K4EPZ7-F1-model_v4,102.22,0.995
AF-A0A5K4FAB3-F1-model_v4,96.16,0.995
AF-A0A3Q0KSH3-F1-model_v4,95.21,0.995
AF-G4VCE0-F1-model_v4,94.54,0.995
AF-A0A3Q0KMP2-F1-model_v4,93.72,0.995
AF-A0A3Q0KLI0-F1-model_v4,93.13,0.994
AF-A0A3Q0KVF5-F1-model_v4,93.04,0.994
AF-A0A5K4FAZ5-F1-model_v4,92.18,0.994
AF-A0A3Q0KQ73-F1-model_v4,91.97,0.994
AF-A0A3Q0KIH8-F1-model_v4,91.86,0.994
AF-A0A3Q0KB99-F1-model_v4,91.71,0.994
AF-A0A5K4EL67-F1-model_v4,91.27,0.994
AF-A0A5K4F5P2-F1-model_v4,91.24,0.994
AF-G4V7X1-F1-model_v4,91.13,0.994
AF-A0A3Q0KJX6-F1-model_v4,87.61,0.993
AF-G4LUW4-F1-model_v4,87.06,0.993
AF-A0A3Q0KSW9-F1-model_v4,86.79,0.993
AF-A0A5K4F0D7-F1-model_v4,85.26,0.993
AF-A0A5K4F2Z7-F1-model_v4,85.16,0.993
AF-A0A5K4FFI7-F1-model_v4,84.89,0.992
AF-A0A3Q0KKF1-F1-model_v4,83.94,0.992
AF-A0A5K4F5T6-F1-model_v4,83.71,0.992
AF-G4LXQ3-F1-model_v4,83.6,0.992
AF-G4LZ90-F1-model_v4,83.28,0.992
AF-A0A5K4F6P0-F1-model_v4,83.09,0.992
AF-A0A5K4FC46-F1-model_v4,83.06,0.992
AF-A0A5K4ENF2-F1-model_v4,82.67,0.991
AF-A0A5K4F352-F1-model_v4,82.27,0.991
AF-A0A3Q0KG95-F1-model_v4,81.93,0.991
AF-A0A5K4EEI8-F1-model_v4,81.27,0.991
AF-A0A5K4EZZ5-F1-model_v4,80.56,0.991
AF-A0A5K4FA50-F1-model_v4,80.53,0.991
AF-A0A5K4F0B1-F1-model_v4,80.49,0.991
AF-A0A5K4F587-F1-model_v4,80.41,0.991
AF-A0A3Q0KGQ9-F1-model_v4,80.25,0.991
AF-A0A5K4F222-F1-model_v4,80.18,0.991
AF-A0A5K4F1E1-F1-model_v4,80.01,0.991
AF-A0A5K4F2C7-F1-model_v4,79.96,0.991
AF-A0A5K4EQE0-F1-model_v4,79.91,0.991
AF-A0A5K4F1B2-F1-model_v4,79.76,0.991
AF-G4M023-F1-model_v4,79.16,0.991
AF-A0A5K4F2A6-F1-model_v4,79.0,0.991
AF-G9HW02-F1-model_v4,78.95,0.991
AF-A0A3Q0KSA0-F1-model_v4,78.54,0.991
AF-A0A3Q0KMB9-F1-model_v4,78.49,0.991
