affile,score,hom,prob
AF-A0A5K4F4D0-F1-model_v4,1.63,7,0.022
AF-A0A5K4EZ22-F1-model_v4,16.89,8,0.712
AF-A0A5K4F8J4-F1-model_v4,5.36,8,0.208
AF-A0A5K4F5W4-F1-model_v4,14.85,9,0.654
AF-A0A5K4F302-F1-model_v4,3.56,9,0.105
AF-A0A3Q0KE04-F1-model_v4,8.92,11,0.41
AF-G4VDQ2-F1-model_v4,14.79,11,0.652
AF-A0A5K4F898-F1-model_v4,2.2,12,0.044
AF-A0A5K4ENW6-F1-model_v4,12.23,12,0.558
AF-A0A5K4FEU8-F1-model_v4,0.74,12,0.002
AF-A0A5K4F8E5-F1-model_v4,2.4,13,0.052
AF-A0A5K4FE15-F1-model_v4,3.29,13,0.091
AF-A0A5K4F8T9-F1-model_v4,3.19,13,0.087
AF-A0A5K4F2H4-F1-model_v4,10.89,14,0.502
AF-A0A5K4FBL0-F1-model_v4,16.51,14,0.703
AF-A0A5K4F8A8-F1-model_v4,6.19,14,0.256
AF-A0A5K4EJX1-F1-model_v4,2.28,14,0.047
AF-A0A5K4FCI9-F1-model_v4,1.96,14,0.034
AF-A0A5K4EPX2-F1-model_v4,2.37,14,0.051
AF-A0A3Q0KP93-F1-model_v4,3.35,14,0.094
AF-G4V7E0-F1-model_v4,17.28,15,0.722
AF-A0A5K4EXX8-F1-model_v4,2.71,15,0.066
AF-A0A5K4F4G3-F1-model_v4,14.37,15,0.636
AF-G4VAQ8-F1-model_v4,3.1,15,0.083
AF-A0A5K4F6C7-F1-model_v4,8.18,15,0.369
AF-G4VIZ0-F1-model_v4,2.06,15,0.038
AF-A0A5K4F806-F1-model_v4,1.16,15,0.008
AF-A0A3Q0KSA6-F1-model_v4,6.47,15,0.274
AF-A0A5K4EUV6-F1-model_v4,20.84,15,0.8
AF-A0A3Q0KQC0-F1-model_v4,1.4,15,0.014
AF-A0A5K4EU77-F1-model_v4,4.21,15,0.142
AF-G4VM28-F1-model_v4,36.81,15,0.937
AF-A0A5K4F3M9-F1-model_v4,6.22,15,0.258
AF-A0A3Q0KQV4-F1-model_v4,1.88,16,0.031
AF-O77234-F1-model_v4,3.45,16,0.099
AF-G4M254-F1-model_v4,2.06,16,0.038
AF-A0A3Q0KST8-F1-model_v4,2.04,16,0.037
AF-A0A5K4F6N6-F1-model_v4,10.33,16,0.478
AF-A0A5K4F687-F1-model_v4,2.02,16,0.037
AF-A0A3Q0KM79-F1-model_v4,15.02,16,0.66
AF-A0A3Q0KSU5-F1-model_v4,1.15,16,0.008
AF-G4VFM4-F1-model_v4,4.97,16,0.185
AF-A0A5K4F942-F1-model_v4,1.4,16,0.015
AF-A0A5K4FFR9-F1-model_v4,1.4,16,0.014
AF-A0A5K4EAL7-F1-model_v4,4.58,16,0.163
AF-A0A5K4F174-F1-model_v4,0.6,16,0.001
AF-A0A5K4EN21-F1-model_v4,1.27,16,0.011
AF-C4QMW5-F1-model_v4,14.63,16,0.646
AF-G4VSL2-F1-model_v4,6.86,16,0.295
AF-A0A5K4F0B3-F1-model_v4,28.59,16,0.89
AF-G4VJZ4-F1-model_v4,1.06,16,0.006
AF-A0A5K4EV71-F1-model_v4,1.47,16,0.017
AF-A0A3Q0KQY4-F1-model_v4,4.7,16,0.17
AF-G4VCW5-F1-model_v4,4.36,16,0.15
AF-A0A5K4F9X9-F1-model_v4,7.08,16,0.308
